Title,Genre,Estimated time to beat,Actual time to beat,Time Played,Estimated time to Complete,Actual time to complete,Price,Owned,Console,Play order,Date First Played,Date Last Played,Status,Rating
The Rogue Prince,Roguelite,4,2.5,12,32,12,$30.00,Yes,PC,2,,2025-08-25,Completed,65
Firewatch,Story/Puzzle,5,,,8,,$20.00,Yes,PC,,,,,
Dark Souls 3 DLC,Soulslike,8,,,20,,$30.00,Yes,PC,,,,,
Outer Wilds DLC,Puzzle,11,,,16,,$60.00,Yes,PC,,,,,
Inscryption,Deck Building?,12,,,20,,$20.00,Yes,PC,,,,,
Psychonauts,???,12,,,20,,$10.00,Yes,PC,,,,,
Doom Eternal,Shooter,15,,,20,,$40.00,Yes,PC,,,,,
Psychonauts 2,???,15,,,27,,$60.00,Yes,PC,,,,,
Jedi Fallen Order,Adventure,18,,,30,,$60.00,Yes,PC,,,,,
TALOS Principle,Puzzle,21,,,30,,$25.00,Yes,PC,,,,,
Neon White,Rush,19,,,40,,$25.00,Yes,PC,,,,,
Another Crab's Treasure,Soulslike,20,24,24,30,24,$30.00,Yes,PC,4,,,Completed,85
Nine Sols,Metroidvania,21,28,28,33,29.5,$30.00,Yes,PC,1,,2025-08-23,Completed,82
Rain World,Puzzle/Adventure,22,,,40,,$25.00,Yes,PC,,,,,
Elden Ring DLC,Soulslike,26,,,51,,$20.00,No,PC,,,,,
Sekiro,Soulslike,40,,,60,,$60.00,Yes,PC,,,,,
Horizon Forbidden West,Adventure,40,,80,100,,$40.00,Yes,PS5,16,2026-04-11,2026-05-29,Completed,88
Elden Ring,Soulslike,60,,40,150,,$60.00,Yes,PC,12,,2026-01-20,Dropped,65
Star of Providence,Roguelite,11,,1.5,63,,$15.00,Yes,PC,3,,2025-08-28,Dropped,55
Cocoon,Puzzle,5,,,5.5,,$25.00,Yes,PC,,,,,
Time Flies,Silly :p,1.5,2,2,2.5,2,$15.00,Yes,PC,10,,2025-11-19,Completed,95
Unsighted,Action/Adventure,8.5,9,9,28,,$20.00,Yes,PC,8,,2025-11-01,Finished,80
Haiku the Robot,Metroidvania,7,6.5,7.3,11,7.3,$20.00,Yes,PC,7,,2025-08-18,Completed,75
Myst,Puzzle,5.5,,,6.5,,$35.00,No,PC,,,,,
Blue Prince,Puzzle roguelite,17.5,,,93,,$30.00,Yes,PC,,,,,
Laika: Aged through Blood,Motorvania,18,,6.5,24,,$20.00,Yes,PC,5,,2025-08-25,Dropped,45
Keeper,Puzzle platformer,5,,,5.5,,$30.00,No,PC,,,,,
Silksong,Metroidvania,27.5,40,60,59,60,$20.00,Yes,PC,9,,2025-12-14,Completed,90
Marvel's Spider-Man: Miles Morales,Action/Adventure,7.5,11,11.5,13.5,11.5,$50.00,Yes,PC,14,2026-02-08,2026-02-09,Completed,74
Marvel's Spider-Man 2,Action/Adventure,17,23,12,28.5,24,$60.00,Yes,PC,15,2026-02-10,2026-02-14,Completed,82
Windswept,Platformer,13,13,16,21,,$20.00,Yes,PC,13,2026-02-03,2026-02-08,Finished,80
Split Fiction,Two-Player Action/Adventure,14.5,14.5,14.5,,,$49.99,Yes,PC,11,,2025-12-07,Completed,74
Rhythm Doctor,music,4,,,15.5,,$20.00,No,PC,,,,,
Mina the Hollower,Action/Adventure,,,,,,$19.99,Yes,PC,,,,,
MIO: Memories in Orbit,Metroidvania,21,,,27,,$14.39,Yes,PC,,,,,
God of War: Ragnarok,Action,43.5,,,55.5,,$39.99,Yes,PS5,,,,,
Ratchet & Clank Rift Apart,Action Platform Shooter,15,,,18,,$29.99,Yes,PS5,,,,,
Dispatch,Story,8.5,,,20,,$29.99,Yes,PS5,,,,,
Horizon Forbidden West: Burning Shores,Adventure,11.5,,,16.5,,,No,PS5,,,,,
,,141.5,173.5,,209.5,170.3,,,,,,,,
,,,122.61%,,,81.29%,,,,,,,,
