Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-10-07,Honey Don't!,2025,https://boxd.it/bieuLp,4,,,2025-08-23
2025-10-07,Mission: Impossible,1996,https://boxd.it/bhSTVb,4.5,Yes,,2025-09-06
2025-10-07,HIM,2025,https://boxd.it/bhVM59,4.5,,,2025-09-14
2025-10-07,The Long Walk,2025,https://boxd.it/biej03,4,,,2025-09-28
2025-10-07,Over the Garden Wall,2014,https://boxd.it/bhTmtv,3.5,,,2025-10-04
2025-10-21,Speak No Evil,2024,https://boxd.it/bqV26B,4,,,2025-10-19
2025-10-25,Weapons,2025,https://boxd.it/btMAP5,4,,,2025-10-24
2025-10-28,Frankenstein,2025,https://boxd.it/bw9kAH,2,,,2025-10-27
2025-11-04,Talk to Me,2022,https://boxd.it/bAVGfX,4,,🕯,2025-10-31
2025-11-10,Smile,2022,https://boxd.it/bFgnU1,4,,,2025-11-08
2025-11-10,Smile 2,2024,https://boxd.it/bFgqFX,5,,,2025-11-09
2025-11-24,The Running Man,2025,https://boxd.it/bP0Wal,3,,,2025-11-23
2025-12-01,Crazy Rich Asians,2018,https://boxd.it/bToiHt,4,,,2025-11-28
2025-12-01,Yesterday,2019,https://boxd.it/bTo6Hh,3.5,,,2025-11-29
2025-12-05,The Holdovers,2023,https://boxd.it/bVPpqB,5,,,2025-12-01
2025-12-10,Boogie Nights,1997,https://boxd.it/bZlwcH,4.5,,,2025-12-08
2025-12-12,Wicked: For Good,2025,https://boxd.it/c12oVf,3.5,,,2025-12-09
2025-12-12,Now You See Me: Now You Don't,2025,https://boxd.it/c12mu7,1.5,,,2025-12-11
2025-12-14,The Dinner Plan,2025,https://boxd.it/c2hdcn,,,,2025-12-13
2025-12-14,"Me, Myself & the Void",2023,https://boxd.it/c2ueRd,4.5,,,2025-12-13
2025-12-18,Wake Up Dead Man,2025,https://boxd.it/c5HSQx,5,,,2025-12-16
2025-12-22,Glass Onion,2022,https://boxd.it/caqv3t,4,Yes,,2025-12-20
2025-12-22,Knives Out,2019,https://boxd.it/caqn6z,5,Yes,,2025-12-22
2026-01-13,The Housemaid,2025,https://boxd.it/cBlgkx,4,,,2026-01-05
2026-01-24,Marty Supreme,2025,https://boxd.it/cMU7BX,5,,,2026-01-22
2026-02-01,Popstar: Never Stop Never Stopping,2016,https://boxd.it/cVaXrT,3.5,,,2026-01-26
