Date,Name,Year,Letterboxd URI,Rating
2025-10-07,HIM,2025,https://boxd.it/BfYI,4.5
2025-10-07,Mission: Impossible,1996,https://boxd.it/29d2,4.5
2025-10-07,Over the Garden Wall,2014,https://boxd.it/eqFw,3.5
2025-10-07,The Long Walk,2025,https://boxd.it/mic8,4
2025-10-07,Honey Don't!,2025,https://boxd.it/Hurc,4
2025-10-21,Speak No Evil,2024,https://boxd.it/G9f8,4
2025-10-25,Weapons,2025,https://boxd.it/EMTM,4
2025-10-28,Frankenstein,2025,https://boxd.it/Ecsg,2
2025-11-04,Talk to Me,2022,https://boxd.it/C6uQ,4
2025-11-10,Smile,2022,https://boxd.it/xjfE,4
2025-11-10,Smile 2,2024,https://boxd.it/FDA4,5
2025-11-24,The Running Man,2025,https://boxd.it/u36A,3
2025-12-01,Yesterday,2019,https://boxd.it/iF7M,3.5
2025-12-01,Crazy Rich Asians,2018,https://boxd.it/gfnK,4
2025-12-05,The Holdovers,2023,https://boxd.it/vHza,5
2025-12-10,Boogie Nights,1997,https://boxd.it/23um,4.5
2025-12-12,Now You See Me: Now You Don't,2025,https://boxd.it/f3i2,1.5
2025-12-12,Wicked: For Good,2025,https://boxd.it/AyfK,3.5
2025-12-14,"Me, Myself & the Void",2023,https://boxd.it/Hnao,4.5
2025-12-18,Wake Up Dead Man,2025,https://boxd.it/uAKS,5
2025-12-22,Knives Out,2019,https://boxd.it/jWEA,5
2025-12-22,Glass Onion,2022,https://boxd.it/oCkK,4
2026-01-13,The Housemaid,2025,https://boxd.it/QFEO,4
2026-01-24,Marty Supreme,2025,https://boxd.it/Off0,5
2026-02-01,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,3.5
