Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2026-02-01,Popstar: Never Stop Never Stopping,2016,https://boxd.it/cVaXrT,3.5,,Watching this in 2026 makes it feel like a period piece,,2026-01-26
2026-01-24,Marty Supreme,2025,https://boxd.it/cMU7BX,5,,"Move over 'Balls of Fury,' there's a new king of table tennis movies!

But seriously, what a ride. Marty is such an absolute menace you can't decide if you want him to succeed or not. Superb acting and cinematography.",,2026-01-22
2026-01-13,The Housemaid,2025,https://boxd.it/cBlgkx,4,,"Well that was ...sexy.
Was anyone acting reasonably? No. But they were hot as hell and it was quite a fun ride!",,2026-01-05
2025-12-22,Knives Out,2019,https://boxd.it/caqn6z,5,Yes,"Doing a rewatch after watching the third. I think we all owe Rian Johnson an apology for how we treated him after star wars.
This is really just everything I want out of a whodunnit. But it's so much more than a whodunnit in its narrative complexity - the emotional tension comes from not wanting our detective to think our lead did the crime! It's just fantastic storytelling with enjoyable characters and splendid settings and cinematography.",,2025-12-22
2025-12-22,Glass Onion,2022,https://boxd.it/caqv3t,4,Yes,"When this came out, everyone begged me to watch it. I think they thought I would love the puzzles.
But oh my God I could not stand how dumb all of the characters were, especially our detective!! Well I know it turns out he was faking it, but I was still mad at it for most of the movie.
...which is why I very much enjoyed this rewatch.
The least emotionally resonant of the trilogy, but just some good fun.",,2025-12-20
2025-12-18,Wake Up Dead Man,2025,https://boxd.it/c5HSQx,5,,"Hot damn do I love a whodunnit! I wanted to pause every 20 minutes to make a new guess. Packed with clues and gorgeous imagery, I wanted to watch it again immediately! It maturely and beautifully shows the potential harms and benefits of religion, even squeezing some tears out of me in sudden and unexpected, rich  moments.",,2025-12-16
2025-12-14,The Dinner Plan,2025,https://boxd.it/c2hdcn,,,"Beautiful food shots!
So goofy and anxious, but shot with such seriousness. 
I always have a hard time connecting with a main character who acts so ridiculously.",,2025-12-13
2025-12-14,"Me, Myself & the Void",2023,https://boxd.it/c2ueRd,4.5,,Chris and Jack are truly hilarious. It was a joy to see one of their bits extended to a feature film!,,2025-12-13
2025-12-12,Now You See Me: Now You Don't,2025,https://boxd.it/c12mu7,1.5,,"Mostly flat performances from a knockout cast. I can't blame them, with a story and dialogue like this. Doubly disappointing with such great potential for effects and story-telling.",,2025-12-11
2026-01-31,Wicked: For Good,2025,https://letterboxd.com/theorangeblur/film/wicked-for-good/,3.5,,,,2025-12-09
2025-12-10,Boogie Nights,1997,https://boxd.it/bZlwcH,4.5,,"""But I don't want to make a film where they show up, they sit down, they jack off, and they get up and they get out before the story ends. It is my dream, it is my goal, it is my idea to make a film where the story just sucks them in. And when they spurt out that joy juice, they've got to just sit in it. They can't move before the story ends. You know, I want to make a film like that.""",,2025-12-08
2025-12-05,The Holdovers,2023,https://boxd.it/bVPpqB,5,,"I think I have a new favorite Christmas movie...!!!
Many Christmas movies fall into the trope of ""trying to discover the true meaning of Christmas,"" where the characters in this film are trying to discover their purpose in life, which gets informed by the holiday festivities. All beautiful, flawed, rich characters with fantastic performances. A movie that gives me hope for the future... and isn't that the true meaning of Christmas? ;)",,2025-12-01
